# Generated from bridge-api/dashboard-data-generation. Do not hand-edit.
dashboardId,dashboardTitle,dashboardVersion,schemaVersion,generatedAt,sourceSubsystems,generationHash,testOnly,productionApplicable,fileName
attestation.overview,Attestation Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,decision-governance,46c8cf8de8c55d7f8ac8d66a16b7703f01685b1077f95bb3666a85dd3d1a6835,true,false,attestation_dashboard.json
benchmark.dataset,Benchmark Dataset Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,benchmark-datasets,2d170e99b8fa3ad24362a9e8762b6537d0078e4175dd832cf64b629c962c52c4,true,false,benchmark_dashboard.json
budget.overview,Budget Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,cost-governance,768f094033826f0b3358d2c7d473ed1aa7077ccab60ac3ff3b251079294b0ed2,true,false,budget_dashboard.json
capability.coverage,Capability Coverage Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,benchmark-datasets|capability-registry|decision-governance|execution-decisions,2a936fa6a2b79873644ef503927aa0cbacecd1d7deb2a34fe4a499fcc647faf5,true,false,capability_coverage_dashboard.json
capability.lifecycle,Capability Lifecycle Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,capability-registry,3c96721d96b7a7e44b01fb728b802a311f08f2d1582e6e586809a29df22a48f6,true,false,capability_lifecycle_dashboard.json
capability.overview,Capability Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,capability-registry|knowledge-graph,f0155da530f2ff9290e3cbcca0516a9032ed255e229765bc59e9737d170e8a3c,true,false,capability_dashboard.json
cost.governance,Cost Governance Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,cost-governance,229e4c90ddf1e51df2035e12ed58fe14e146c290e44f176f99f8747a2c066415,true,false,cost_dashboard.json
decision.history,Decision History Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,decision-governance,0b58ad0ac456387aa832cf73f77c99ea140f700ec5eb3a532dfedf47aa7070d8,true,false,decision_history_dashboard.json
deferred.work,Deferred Work Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,documentation-metadata,2ec37cd119c620043ceb9d72a48bd7fd4ac7fea6e2eaa56ff0d85f4f9b550034,true,false,deferred_work_dashboard.json
dependency.overview,Dependency Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,knowledge-graph,3bc9bfd847e20856b3d90100745ef82b71036babafb5bb814893110a0e1abb9b,true,false,dependency_dashboard.json
documentation.overview,Documentation Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,documentation-metadata,995620967e43a7bc42d0c73280daa34d89715c2f6877ca5a136296336b447281,true,false,documentation_dashboard.json
evaluation.runs,Evaluation Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,evaluation-engine,1fa4c2a2de909edc14d80ba786a87a88a84b5299422d7333fa07b243388034a3,true,false,evaluation_dashboard.json
exception.overview,Exception Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,decision-governance,780596c0a5862625e72529597aca6c7d04996a897c8d9441d8063993730a8286,true,false,exception_dashboard.json
execution.decision,Execution Decision Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,execution-decisions,5ae2c5fc2684c423b92447e465adac03a3f8015b4264d91a92acd0317652811b,true,false,decision_dashboard.json
execution.strategy,Execution Strategy Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,evaluation-engine|execution-decisions,4b2430c08c2cd83bd6c3146849af59aee8fd6b1a03b54e7f1c41ae01ec5e6072,true,false,execution_dashboard.json
executive.summary,Executive Summary Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,benchmark-datasets|capability-registry|cost-governance|decision-governance|evaluation-engine|execution-decisions|knowledge-graph|scoring-engine,1e0159c998801379c81244db79ac27c1552924e0ab75483af1f77d395f1af0ba,true,false,executive_dashboard.json
findings.overview,Findings Dashboard,0.1.0,intelligence.dashboard.dataset.v1,2026-07-25T00:00:00.000Z,decision-governance,b7d883a81a503fdb83e327fe72bf0350a881dba79426e3ce0e0b12c36cd2f457,true,false,findings_dashboard.json
